Time (hr),Concentration (µg/mL)
-1.83352,3.95061
-1.67044,4.24897
-1.50056,3.62139
-1.33069,4.38271
-1.16761,4.55761
-0.99773,3.76543
-0.83125,3.786
-0.66138,4.1358
-0.32842,4.31069
-0.16534,4.57818
0.00453,4.54732
0.02151,0.78189
0.0351,0.53497
0.05549,0.47325
0.06908,0.34979
0.09286,0.37037
0.12344,0.32921
0.14043,0.29835
0.16421,0.27777
0.19479,0.27777
0.22876,0.26748
0.26613,0.26748
0.33748,0.22633
0.40203,0.20576
0.43601,0.18518
0.47338,0.17489
0.50056,0.14403
0.54473,0.14403
0.60588,0.14403
0.66024,0.12345
0.70101,0.12345
0.75877,0.10288
0.80294,0.10288
0.8505,0.0823
0.90486,0.0823
