id,fk_series_id,time_original,conc_original,conc_sd_original,conc_lower_bound_original,conc_upper_bound_original,no_conc_val_type,time_hr,conc,conc_sd,conc_lower_bound,conc_upper_bound
11607,23630,-9.91319352,12.84775851,,,,,-0.16521,,,,
11608,23630,-9.513204656,19.84129962,,,,,-0.15855,,,,
11609,23630,-9.270469698,23.1275752,,,,,-0.1545,,,,
11610,23630,-9.008143819,25.27658482,,,,,-0.15013,,,,
11611,23630,-8.510781361,26.2468105,,,,,-0.14184,,,,
11612,23630,-8.25041639,27.25849364,,,,,-0.1375,,,,
11613,23630,-8.012111631,27.97525383,,,,,-0.13353,,,,
11614,23630,-7.494504617,28.18732237,,,,,-0.1249,,,,
11615,23630,-7.149094351,28.52527634,,,,,-0.11915,,,,
11616,23630,-6.739754862,28.44217985,,,,,-0.11232,,,,
11617,23630,-6.481496052,28.2322901,,,,,-0.10802,,,,
11618,23630,-6.156693474,29.11778519,,,,,-0.10261,,,,
11619,23630,-5.748588631,28.31859425,,,,,-0.0958,,,,
11620,23630,-5.489603558,28.52993652,,,,,-0.09149,,,,
11621,23630,-5.144992181,28.40453526,,,,,-0.08574,,,,
11622,23630,-4.755751996,29.16384231,,,,,-0.07926,,,,
11623,23630,-4.519262892,28.82752243,,,,,-0.07532,,,,
11624,23630,-4.152373425,29.12341372,,,,,-0.0692,,,,
11625,23630,-3.764150007,29.29299593,,,,,-0.06273,,,,
11626,23630,-3.506254327,28.87249016,,,,,-0.05843,,,,
11627,23630,-3.139582738,29.04201184,,,,,-0.05232,,,,
11628,23630,-2.77269327,29.33790314,,,,,-0.04621,,,,
11629,23630,-2.514143955,29.2965062,,,,,-0.0419,,,,
11630,23630,-2.018524526,29.25577499,,,,,-0.03364,,,,
11631,23630,-1.759902584,29.25650126,,,,,-0.02933,,,,
11632,23630,-1.47980144,29.21516484,,,,,-0.02466,,,,
11633,23630,-1.15637876,29.30031907,,,,,-0.01927,,,,
11634,23630,-0.725560069,29.1751599,,,,,-0.01209,,,,
11635,23630,-0.488199451,29.34431845,,,,,-0.00813,,,,
11636,23630,-0.142498680999999,29.85076524,,,,,-0.00237,,,,
11637,23630,0.246868600000001,18.18378789,,,,,0.00411,,,,
11638,23630,0.515494800000001,11.48698538,,,,,0.00859,,,,
11639,23630,0.854804469999999,8.286590296,,,,,0.01424,,,,
11640,23630,1.23787142,5.465425081,,,,,0.02063,,,,
11641,23630,1.49445983,4.286701656,,,,,0.0249,,,,
11642,23630,1.83834495,3.740068365,,,,,0.03063,,,,
11643,23630,2.24630454,2.856631015,,,,,0.03743,,,,
11644,23630,2.48301152,2.64668074,,,,,0.04138,,,,
11645,23630,2.84873897,2.268600783,,,,,0.04747,,,,
11646,23630,3.21366753,1.427165593,,,,,0.05356,,,,
11647,23630,3.49333291,1.133089955,,,,,0.05822,,,,
11648,23630,3.83816217,1.134058304,,,,,0.06396,,,,
11649,23630,4.22522357,0.62966926,,,,,0.07042,,,,
11650,23630,4.48420864,0.841011538,,,,,0.07473,,,,
11651,23630,4.84979084,0.378685175,,,,,0.08082,,,,
