id,fk_series_id,time_original,conc_original,conc_sd_original,conc_lower_bound_original,conc_upper_bound_original,no_conc_val_type,time_hr,conc,conc_sd,conc_lower_bound,conc_upper_bound
11371,23612,-110.011325028,3.950617284,,,,,-1.83352,3.95061,,,
11372,23612,-100.22650057,4.248971193,,,,,-1.67044,4.24897,,,
11373,23612,-90.03397508,3.621399177,,,,,-1.50056,3.62139,,,
11374,23612,-79.8414496,4.382716049,,,,,-1.33069,4.38271,,,
11375,23612,-70.05662514,4.557613169,,,,,-1.16761,4.55761,,,
11376,23612,-59.86409966,3.765432099,,,,,-0.99773,3.76543,,,
11377,23612,-49.87542469,3.78600823,,,,,-0.83125,3.786,,,
11378,23612,-39.68289921,4.135802469,,,,,-0.66138,4.1358,,,
11379,23612,-19.7055493,4.310699588,,,,,-0.32842,4.31069,,,
11380,23612,-9.9207248,4.5781893,,,,,-0.16534,4.57818,,,
11381,23612,0.2718007,4.547325103,,,,,0.00453,4.54732,,,
11382,23612,1.29105319999999,0.781893004,,,,,0.02151,0.78189,,,
11383,23612,2.10645529999999,0.534979424,,,,,0.0351,0.53497,,,
11384,23612,3.3295583,0.473251029,,,,,0.05549,0.47325,,,
11385,23612,4.1449604,0.349794239,,,,,0.06908,0.34979,,,
11386,23612,5.5719139,0.37037037,,,,,0.09286,0.37037,,,
11387,23612,7.40656850000001,0.329218107,,,,,0.12344,0.32921,,,
11388,23612,8.42582110000001,0.298353909,,,,,0.14043,0.29835,,,
11389,23612,9.8527746,0.277777778,,,,,0.16421,0.27777,,,
11390,23612,11.6874292,0.277777778,,,,,0.19479,0.27777,,,
11391,23612,13.7259343,0.267489712,,,,,0.22876,0.26748,,,
11392,23612,15.9682899,0.267489712,,,,,0.26613,0.26748,,,
11393,23612,20.2491506,0.226337449,,,,,0.33748,0.22633,,,
11394,23612,24.1223103,0.205761317,,,,,0.40203,0.20576,,,
11395,23612,26.1608154,0.185185185,,,,,0.43601,0.18518,,,
11396,23612,28.403171,0.174897119,,,,,0.47338,0.17489,,,
11397,23612,30.0339751,0.144032922,,,,,0.50056,0.14403,,,
11398,23612,32.6840317,0.144032922,,,,,0.54473,0.14403,,,
11399,23612,36.3533409,0.144032922,,,,,0.60588,0.14403,,,
11400,23612,39.614949,0.12345679,,,,,0.66024,0.12345,,,
11401,23612,42.0611552,0.12345679,,,,,0.70101,0.12345,,,
11402,23612,45.5266138,0.102880658,,,,,0.75877,0.10288,,,
11403,23612,48.1766704,0.102880658,,,,,0.80294,0.10288,,,
11404,23612,51.0305776,0.082304527,,,,,0.8505,0.0823,,,
11405,23612,54.2921857,0.082304527,,,,,0.90486,0.0823,,,
